Campus location Name,Map link,Address
PACCAR Hall (PCAR),"https://maps.google.com/maps?q=47.6591212366,-122.3086450466&t=k&z=18","47.6591212366,-122.3086450466"
Padelford Hall (PDL),"https://maps.google.com/maps?q=47.656998,-122.304243&t=k&z=18","47.656998,-122.304243"
Parrington Hall (PAR),"https://maps.google.com/maps?q=47.65744,-122.31032&t=k&z=18","47.65744,-122.31032"
Paul G. Allen Center for Computer Science & Engineering (CSE),"https://maps.google.com/maps?q=47.6532409998,-122.305803&t=k&z=18","47.6532409998,-122.305803"
Physics-Astronomy Auditorium (PAA),"https://maps.google.com/maps?q=47.6529559999,-122.310979&t=k&z=18","47.6529559999,-122.310979"
Physics-Astronomy Building (PAB),"https://maps.google.com/maps?q=47.6536230001,-122.311302&t=k&z=18","47.6536230001,-122.311302"
Physics-Astronomy Tower (PAT),"https://maps.google.com/maps?q=47.6533519998,-122.311778&t=k&z=18","47.6533519998,-122.311778"
Plant Operations Annex 2 (PO2),"https://maps.google.com/maps?q=47.6544819998,-122.303245&t=k&z=18","47.6544819998,-122.303245"
Plant Operations Annex 3 (PO3),"https://maps.google.com/maps?q=47.654667,-122.303231&t=k&z=18","47.654667,-122.303231"
Plant Operations Annex 4 (PO4),"https://maps.google.com/maps?q=47.6547300003,-122.303565&t=k&z=18","47.6547300003,-122.303565"
Plant Operations Annex 5 (PO5),"https://maps.google.com/maps?q=47.654919,-122.303229&t=k&z=18","47.654919,-122.303229"
Plant Operations Annex 6 (PO6),"https://maps.google.com/maps?q=47.654435,-122.303355&t=k&z=18","47.654435,-122.303355"
Plant Operations Building (POB),"https://maps.google.com/maps?q=47.6538770001,-122.303424&t=k&z=18","47.6538770001,-122.303424"
Plant Services Building (PSB),"https://maps.google.com/maps?q=47.6620610001,-122.301557&t=k&z=18","47.6620610001,-122.301557"
Portage Bay Building (PBB),"https://maps.google.com/maps?q=47.6487449999,-122.309504&t=k&z=18","47.6487449999,-122.309504"
Power Plant (PWR),"https://maps.google.com/maps?q=47.653649,-122.303735&t=k&z=18","47.653649,-122.303735"
Publications Services Building (PSV),"https://maps.google.com/maps?q=47.6552910002,-122.320391&t=k&z=18","47.6552910002,-122.320391"
Purchasing and Accounting Building (PCH),https://maps.app.goo.gl/B3k5w3TREGGqxYKSA,"47.6544016,-122.3136718"
Rainier Vista (LNDMK-3),https://map.uw.edu/?id=2099#!m/973423?s/,"47.655224,-122.30871"
Raitt Hall (RAI),"https://maps.google.com/maps?q=47.6579190003,-122.307252&t=k&z=18","47.6579190003,-122.307252"
Red Square (LNDMK-2),https://map.uw.edu/?id=2099#!m/975092?s/,"47.6561418,-122.3108437"
"Republican Building, 501 Eastlake Ave E (L026)","https://maps.google.com/maps?q=47.6235139998,-122.329467&t=k&z=18","47.6235139998,-122.329467"
Roberts Annex (RAX),"https://maps.google.com/maps?q=47.6521430002,-122.304298&t=k&z=18","47.6521430002,-122.304298"
Roberts Hall (ROB),"https://maps.google.com/maps?q=47.6520349998,-122.305068&t=k&z=18","47.6520349998,-122.305068"
"Roosevelt Commons East, 4311 11th Ave NE (RCE)","https://maps.google.com/maps?q=47.6603930002,-122.316917&t=k&z=18","47.6603930002,-122.316917"
"Roosevelt I, 4225 Roosevelt Way NE (OTT)","https://maps.google.com/maps?q=47.658285,-122.318168&t=k&z=18","47.658285,-122.318168"
Roosevelt II (QUC),"https://maps.google.com/maps?q=47.658843,-122.318222&t=k&z=18","47.658843,-122.318222"
Samuel E. Kelly Ethnic Cultural Center (ECC),"https://maps.google.com/maps?q=47.655198,-122.314799&t=k&z=18","47.655198,-122.314799"
Savery Hall (SAV),"https://maps.google.com/maps?q=47.6571279998,-122.308357&t=k&z=18","47.6571279998,-122.308357"
Schmitz Hall (SMZ),"https://maps.google.com/maps?q=47.6565730002,-122.312665&t=k&z=18","47.6565730002,-122.312665"
Seattle Children's Research Institute: Jack R. MacDonald Building (SCMD),"http://maps.google.com/maps?q=47.615421,-122.334244","47.615421,-122.334244"
Seattle Children's Research Institute: West 8th (SCW8),"https://maps.google.com/maps?q=47.6157990002,-122.337257&t=k&z=18","47.6157990002,-122.337257"
Shellhouse Annex (SHA),"https://maps.google.com/maps?q=47.6525419999,-122.299265&t=k&z=18","47.6525419999,-122.299265"
Sieg Building (SIG),"https://maps.google.com/maps?q=47.6548889997,-122.306479&t=k&z=18","47.6548889997,-122.306479"
Smith Hall (SMI),"https://maps.google.com/maps?q=47.6566599998,-122.307147&t=k&z=18","47.6566599998,-122.307147"
Social Work/Speech and Hearing Sciences Building (SWS),"https://maps.google.com/maps?q=47.6574589998,-122.312416&t=k&z=18","47.6574589998,-122.312416"
South Campus Center (SOCC),"https://maps.google.com/maps?q=47.649479,-122.310853&t=k&z=18","47.649479,-122.310853"
South Lake Union C Building (Admin) (SLC),"https://maps.google.com/maps?q=47.6235956024,-122.3400732038&t=k&z=18","47.6235956024,-122.3400732038"
South Lake Union D Building (Brotman) (BFB),"https://maps.google.com/maps?q=47.624136,-122.340278&t=k&z=18","47.624136,-122.340278"
South Lake Union E Building (SL31),"https://maps.google.com/maps?q=47.6237450001,-122.341465&t=k&z=18","47.6237450001,-122.341465"
South Lake Union F Building (SL32),"https://maps.google.com/maps?q=47.6236649999,-122.341933&t=k&z=18","47.6236649999,-122.341933"
South Lake Union N Building (North) (SLB),"https://maps.google.com/maps?q=47.6241636972,-122.3407720629&t=k&z=18","47.6241636972,-122.3407720629"
South Lake Union S Building (South) (SLA),"https://maps.google.com/maps?q=47.6235698508,-122.3406864066&t=k&z=18","47.6235698508,-122.3406864066"
Southwest Maintenance Building (URC),"https://maps.google.com/maps?q=47.6547539999,-122.31525&t=k&z=18","47.6547539999,-122.31525"
Stadium (STD),"https://maps.google.com/maps?q=47.649526,-122.301947&t=k&z=18","47.649526,-122.301947"
Stevens Court A (SCA),"https://maps.google.com/maps?q=47.6542650002,-122.315429&t=k&z=18","47.6542650002,-122.315429"
Stevens Court B (SCB),"https://maps.google.com/maps?q=47.6541319998,-122.31493&t=k&z=18","47.6541319998,-122.31493"
Stevens Court C (SCC),"https://maps.google.com/maps?q=47.6538299998,-122.315102&t=k&z=18","47.6538299998,-122.315102"
Stevens Court D (SCD),"https://maps.google.com/maps?q=47.6538639999,-122.315947&t=k&z=18","47.6538639999,-122.315947"
Stevens Court J (SCJ),"https://maps.google.com/maps?q=47.6538240001,-122.316462&t=k&z=18","47.6538240001,-122.316462"
Stevens Court K (SCK),"https://maps.google.com/maps?q=47.6542030002,-122.316629&t=k&z=18","47.6542030002,-122.316629"
Stevens Court L (SCL),"https://maps.google.com/maps?q=47.6544969997,-122.316197&t=k&z=18","47.6544969997,-122.316197"
Stevens Court M (SCM),"https://maps.google.com/maps?q=47.6541630001,-122.316073&t=k&z=18","47.6541630001,-122.316073"
Student Union Building (HUB),"https://maps.google.com/maps?q=47.6553180002,-122.305169&t=k&z=18","47.6553180002,-122.305169"
Suzzallo Library (SUZ),"https://maps.google.com/maps?q=47.6557619998,-122.308118&t=k&z=18","47.6557619998,-122.308118"
Terry Hall (TEH),"https://maps.google.com/maps?q=47.655701,-122.317016&t=k&z=18","47.655701,-122.317016"
Thaddeus and Lois Spratlen Hall (MDR),"https://maps.google.com/maps?q=47.6601320001,-122.305391&t=k&z=18","47.6601320001,-122.305391"
The Liberal Arts Quadrangle – The Quad (LNDMK-1),https://map.uw.edu/?id=2099#!m/975450?s/,"47.65725,-122.30724"
Theodor Jacobsen Observatory (OBS),"https://maps.google.com/maps?q=47.6603409997,-122.309287&t=k&z=18","47.6603409997,-122.309287"
Thomson Hall (THO),"https://maps.google.com/maps?q=47.6565550002,-122.305822&t=k&z=18","47.6565550002,-122.305822"
Transportation Services Building (TSB),"https://maps.google.com/maps?q=47.656433,-122.313677&t=k&z=18","47.656433,-122.313677"
Union Bay Natural Area,"http://maps.google.com/maps?q=47.655400441047,-122.29302050787","47.655400441047,-122.29302050787"
University Book Store (BOOK),https://maps.app.goo.gl/g6VHiQio6cVPLW7M9,"47.6607034,-122.3134294"
"University District Building, 1107 NE 45th Street (UDB)","https://maps.google.com/maps?q=47.6609350001,-122.316259&t=k&z=18","47.6609350001,-122.316259"
University of Washington Club (Faculty Center) (FAC),"https://maps.google.com/maps?q=47.655617,-122.304032&t=k&z=18","47.655617,-122.304032"
Urban Horticulture Field House (UHF),"https://maps.google.com/maps?q=47.6567050002,-122.28874&t=k&z=18","47.6567050002,-122.28874"
UW Arts Ticket Office,https://maps.app.goo.gl/VrTUv1PDoMkLSqVEA,"47.6567595,-122.3140627"
UW Medical Center,"http://maps.google.com/maps?q=47.648743,-122.306137","47.648743,-122.306137"
"UW Medical Center - Montlake, Surgery and Treatment Pavilion (UMSP)","https://maps.google.com/maps?q=47.6485610002,-122.30521&t=k&z=18","47.6485610002,-122.30521"
"UW Medical Center - Montlake, Wing CC (UMCC)","https://maps.google.com/maps?q=47.6494110002,-122.307336&t=k&z=18","47.6494110002,-122.307336"
"UW Medical Center - Montlake, Wing EA (UMEA)","https://maps.google.com/maps?q=47.6485929999,-122.306765&t=k&z=18","47.6485929999,-122.306765"
"UW Medical Center - Montlake, Wing EB (UMEB)","https://maps.google.com/maps?q=47.6490669998,-122.306078&t=k&z=18","47.6490669998,-122.306078"
"UW Medical Center - Montlake, Wing EC (UMEC)","https://maps.google.com/maps?q=47.6489430001,-122.306355&t=k&z=18","47.6489430001,-122.306355"
"UW Medical Center - Montlake, Wing EE (UMEE)","https://maps.google.com/maps?q=47.6492830001,-122.307024&t=k&z=18","47.6492830001,-122.307024"
"UW Medical Center - Montlake, Wing NE (UMNE)","https://maps.google.com/maps?q=47.6492530002,-122.306322&t=k&z=18","47.6492530002,-122.306322"
"UW Medical Center - Montlake, Wing NN (UMNN)","https://maps.google.com/maps?q=47.6496160003,-122.307056&t=k&z=18","47.6496160003,-122.307056"
"UW Medical Center - Montlake, Wing NW (UMNW)","https://maps.google.com/maps?q=47.6498950002,-122.308155&t=k&z=18","47.6498950002,-122.308155"
